model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,136,126,10,88,48,1.954169,1.456113,1.658653,1.007692,0.801587,0.611111,0.373016,0.544118,0.507937,0.293651,4.029412,ETHUSDT,15m
Entry Model 1,1h,105,90,15,56,49,1.932651,0.860674,2.536091,0.853863,0.666667,0.411111,0.188889,0.552381,0.355556,0.166667,3.304762,ETHUSDT,1h
Entry Model 1,30m,126,110,16,78,48,2.439014,1.415852,1.922681,0.880533,0.790909,0.609091,0.363636,0.531746,0.518182,0.290909,3.81746,ETHUSDT,30m
Entry Model 1,4h,168,164,4,77,91,2.431518,1.263467,1.861208,0.74045,0.756098,0.609756,0.347561,0.410714,0.530488,0.29878,3.107143,SOLUSDT,4h
Entry Model 1,5m,132,128,4,83,49,1.894717,1.13771,1.963186,1.374183,0.726562,0.539062,0.34375,0.583333,0.421875,0.257812,4.166667,BTCUSDT,5m
Entry Model 2,15m,145,133,12,101,44,2.412851,1.609962,2.180108,1.379822,0.81203,0.609023,0.458647,0.668966,0.466165,0.308271,4.144828,SOLUSDT,15m
Entry Model 2,1h,108,90,18,61,47,2.638808,1.650663,1.6068,0.821794,0.833333,0.7,0.388889,0.555556,0.6,0.288889,3.601852,SOLUSDT,1h
Entry Model 2,30m,128,115,13,76,52,3.361447,1.604545,1.797998,1.164559,0.86087,0.669565,0.426087,0.617188,0.469565,0.278261,4.039062,SOLUSDT,30m
Entry Model 2,4h,137,128,9,52,85,3.327584,1.056604,2.431302,0.920905,0.734375,0.507812,0.304688,0.489051,0.40625,0.21875,3.262774,SOLUSDT,4h
Entry Model 2,5m,167,138,29,120,47,1.766552,1.304147,2.192238,0.951996,0.789855,0.57971,0.318841,0.57485,0.485507,0.246377,4.197605,SOLUSDT,5m
Entry Model 3,15m,17,14,3,9,8,4.980223,3.471457,10.305777,5.161863,0.928571,0.785714,0.642857,0.941176,0.357143,0.285714,4.352941,SOLUSDT,15m
Entry Model 3,1h,23,21,2,14,9,14.221348,8.52381,8.959549,5.547368,0.857143,0.809524,0.761905,0.826087,0.619048,0.47619,3.913043,ETHUSDT,1h
Entry Model 3,30m,19,16,3,8,11,7.814861,6.45743,8.938841,6.982682,0.9375,0.9375,0.9375,0.894737,0.5625,0.5,3.894737,BTCUSDT,30m
Entry Model 3,4h,25,25,0,15,10,9.491813,3.706717,15.125582,10.992933,0.68,0.64,0.56,0.92,0.48,0.44,3.36,BTCUSDT,4h
Entry Model 3,5m,4,4,0,1,3,2.420499,1.372081,1.458936,1.779664,1.0,1.0,0.25,0.75,0.5,0.25,4.25,SOLUSDT,5m
